"id_instansi","nama_instansi","lokasi","jumlah_penulis","jumlah_departemen","jumlah_journals"
"414","Universitas Pendidikan Indonesia"," KOTA BANDUNG - JAWA BARAT, ID","1613","174","54"
"380","Universitas Airlangga"," KOTA SURABAYA - JAWA TIMUR, ID","2078","186","61"
"444","Badan Riset dan Inovasi Nasional"," KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID","2823","0","0"
"6","Universitas Diponegoro"," KOTA SEMARANG - JAWA TENGAH, ID","1830","170","89"
"417","Institut Teknologi Sepuluh Nopember"," KOTA SURABAYA - JAWA TIMUR, ID","1132","92","25"
"384","Universitas Gadjah Mada"," KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID","3250","305","78"
"1135","Institut Transportasi dan Logistik Trisakti"," KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID","154","11","1"
"1418","Universitas Suryakancana"," KAB. CIANJUR - JAWA BARAT, ID","142","18","10"
"430","Universitas Indonesia"," KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID","3500","259","51"
"583","Universitas Simalungun"," KOTA PEMATANGSIANTAR - SUMATERA UTARA, ID","118","19","0"
"8244516","Universitas Nias Raya"," KAB. NIAS SELATAN - SUMATERA UTARA, ID","90","13","0"
"428","Institut Pertanian Bogor"," KAB. BOGOR - JAWA BARAT, ID","1510","192","50"
"440","Universitas Sriwijaya"," KAB. OGAN ILIR - SUMATERA SELATAN, ID","1617","119","49"
"405","Universitas Kristen Indonesia"," KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID","249","35","9"
"481","Universitas Padjadjaran"," KAB. SUMEDANG - JAWA BARAT, ID","2254","188","56"
"540","Politeknik Negeri Medan"," KOTA MEDAN - SUMATERA UTARA, ID","361","26","0"
"436","Universitas Negeri Makassar"," KOTA MAKASSAR - SULAWESI SELATAN, ID","1101","124","43"
"8244628","Universitas Islam Negeri K.H. Abdurrahman Wahid Pekalongan"," UNKNOWN - UNKNOWN, ID","205","24","0"
"398","Universitas Lampung"," KOTA BANDAR LAMPUNG - LAMPUNG, ID","1407","123","37"
"515","Universitas Samudra"," KOTA LANGSA - ACEH, ID","320","28","4"
"2106","Universitas Nahdlatul Ulama Surabaya"," KOTA SURABAYA - JAWA TIMUR, ID","254","20","11"
"500","Universitas Negeri Medan"," KOTA MEDAN - SUMATERA UTARA, ID","1033","85","52"
"8","Universitas Sebelas Maret"," KOTA SURAKARTA - JAWA TENGAH, ID","1766","183","67"
"1561","Sekolah Tinggi Ilmu Kesehatan Cirebon"," KAB. CIREBON - JAWA BARAT, ID","38","9","1"
"491","Universitas Jambi"," KAB. MUARO JAMBI - JAMBI, ID","1116","92","32"
"8425","Universitas Ma'soem"," KAB. BANDUNG - JAWA BARAT, ID","66","11","2"
"381","Universitas Negeri Yogyakarta"," KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID","1343","189","58"
"1659","Universitas Nusa Putra"," KAB. SUKABUMI - JAWA BARAT, ID","180","13","0"
"9","Universitas Negeri Semarang"," KOTA SEMARANG - JAWA TENGAH, ID","1296","105","126"
"1093","Universitas Telkom"," KAB. BANDUNG - JAWA BARAT, ID","1041","45","12"
"3514","Universitas Islam Negeri Sultan Syarif Kasim Riau"," KAB. KAMPAR - RIAU, ID","647","56","31"
"438","Universitas Negeri Malang"," KOTA MALANG - JAWA TIMUR, ID","1632","135","63"
"4328","Politeknik Statistika STIS"," KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID","76","3","1"
"8339","Universitas Raharja"," KOTA TANGERANG - BANTEN, ID","176","13","5"
"435","Universitas Negeri Jakarta"," KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID","1041","112","54"
"2108","Universitas KH. A. Wahab Hasbullah"," KAB. JOMBANG - JAWA TIMUR, ID","96","15","3"
"2783","Akademi Teknologi Industri Dewantara Palopo"," KOTA PALOPO - SULAWESI SELATAN, ID","33","3","0"
"4478","Politeknik Siber dan Sandi Negara"," KAB. BOGOR - JAWA BARAT, ID","41","3","0"
"477","Universitas Trisakti"," KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID","931","47","25"
"4482","Akademi Angkatan Laut Surabaya"," KOTA SURABAYA - JAWA TIMUR, ID","26","6","0"
"551","Universitas Muhammadiyah Sidoarjo"," KAB. SIDOARJO - JAWA TIMUR, ID","242","30","21"
"1999","Sekolah Tinggi Manajemen Informatika dan Komputer Sinar Nusantara"," KOTA SURAKARTA - JAWA TENGAH, ID","34","5","2"
"509","Universitas Pendidikan Ganesha"," KAB. BULELENG - BALI, ID","531","86","93"
"54","Universitas Pancasakti Tegal"," KOTA TEGAL - JAWA TENGAH, ID","186","25","11"
"2528","Universitas Muslim Indonesia"," KOTA MAKASSAR - SULAWESI SELATAN, ID","741","59","18"
"388","Universitas Bina Nusantara"," KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID","1269","55","8"
"3543","Institut Agama Islam Negeri Ponorogo"," KAB. PONOROGO - JAWA TIMUR, ID","219","26","13"
"1394","Universitas Pakuan"," KOTA BOGOR - JAWA BARAT, ID","449","38","12"
"586","Universitas Medan Area"," KOTA MEDAN - SUMATERA UTARA, ID","321","23","25"
"475","Universitas Tanjungpura"," KOTA PONTIANAK - KALIMANTAN BARAT, ID","1000","99","23"
"3549","Institut Agama Islam Negeri Curup"," KAB. LEBONG - BENGKULU, ID","174","22","15"
"1319","Universitas Muhammadiyah Tangerang"," KOTA TANGERANG - BANTEN, ID","361","35","17"
"564","Politeknik Negeri Batam"," KOTA BATAM - KEPULAUAN RIAU, ID","215","24","9"
"1122","Institut Bio Scientia Internasional Indonesia"," KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID","72","9","0"
"447","Politeknik Negeri Jember"," KAB. JEMBER - JAWA TIMUR, ID","447","33","6"
"567","Politeknik Negeri Bengkalis"," KAB. BENGKALIS - RIAU, ID","128","26","4"
"2524","Politeknik Medica Farma Husada Mataram"," KOTA MATARAM - NUSA TENGGARA BARAT, ID","35","7","1"
"433","Universitas Udayana"," KAB. BADUNG - BALI, ID","1961","123","89"
"592","Universitas Graha Nusantara Padangsidimpuan"," KOTA PADANGSIDIMPUAN - SUMATERA UTARA, ID","151","17","0"
"3511","Universitas Islam Negeri Sunan Gunung Djati Bandung"," KOTA BANDUNG - JAWA BARAT, ID","708","67","49"
"527","Universitas Singaperbangsa Karawang"," KAB. KARAWANG - JAWA BARAT, ID","575","34","12"
"1154","Sekolah Tinggi Manajemen Labora"," KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID","13","2","0"
"1114","Institut Keuangan-Perbankan Dan Informatika Asia Perbanas"," KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID","149","11","0"
"550","Politeknik Perkapalan Negeri Surabaya"," KOTA SURABAYA - JAWA TIMUR, ID","168","19","0"
"391","Universitas Kristen Maranatha"," KOTA BANDUNG - JAWA BARAT, ID","414","32","10"
"1417","Universitas Muhammadiyah Cirebon"," KAB. CIREBON - JAWA BARAT, ID","187","24","7"
"12","Politeknik Negeri Semarang"," KOTA SEMARANG - JAWA TENGAH, ID","413","27","10"
"1888","Institut Pertanian Stiper"," KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID","97","6","0"
"1068","Universitas Persada Indonesia Yai"," KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID","144","20","5"
"442","Universitas Syiah Kuala"," KOTA BANDA ACEH - ACEH, ID","1727","142","38"
"2043","Universitas Muhammadiyah Surabaya"," KOTA SURABAYA - JAWA TIMUR, ID","324","36","22"
"1891","Institut Teknologi Nasional Yogyakarta"," KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID","114","9","2"
"497","Universitas Negeri Padang"," KOTA PADANG - SUMATERA BARAT, ID","1379","127","61"
"406","Universitas Jember"," KAB. JEMBER - JAWA TIMUR, ID","1292","112","28"
"2492","SEKOLAH TINGGI PARIWISATA MATARAM"," KOTA MATARAM - NUSA TENGGARA BARAT, ID","38","3","2"
"20","Universitas Dian Nuswantoro"," KOTA SEMARANG - JAWA TENGAH, ID","382","28","12"
"385","Universitas Hasanuddin"," KOTA MAKASSAR - SULAWESI SELATAN, ID","1899","219","44"
"2123","Institut Pertanian Malang"," KOTA MALANG - JAWA TIMUR, ID","19","3","0"
"8348","Politeknik Pariwisata Palembang"," KOTA PALEMBANG - SUMATERA SELATAN, ID","26","4","0"
"1392","Universitas Islam Bandung"," KOTA BANDUNG - JAWA BARAT, ID","524","33","13"
"4823","Kementerian Keuangan Republik Indonesia"," KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID","76","0","3"
"2707","Universitas Mandala Waluya"," KOTA KENDARI - SULAWESI TENGGARA, ID","119","10","2"
"2561","Universitas Madako Tolitoli"," KAB. TOLI TOLI - SULAWESI TENGAH, ID","85","28","0"
"4766","Universitas Prisma"," KOTA MANADO - SULAWESI UTARA, ID","40","24","0"
"2007","Institut Teknologi Statistika dan Bisnis Muhammadiyah Semarang"," KOTA SEMARANG - JAWA TENGAH, ID","19","4","0"
"8160","Badan Meteorologi Klimatologi dan Geofisika"," KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID","32","0","1"
"1061","Universitas Nasional"," KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID","332","32","3"
"422","Universitas Sanata Dharma"," KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID","390","41","7"
"1868","Universitas Sarjanawiyata Tamansiswa"," KOTA YOGYAKARTA - DAERAH ISTIMEWA YOGYAKARTA, ID","297","23","23"
"4462","Politeknik AKA Bogor"," KOTA BOGOR - JAWA BARAT, ID","80","4","0"
"2077","Universitas PGRI Adi Buana Surabaya"," KOTA SURABAYA - JAWA TIMUR, ID","310","33","13"
"4480","Sekolah Tinggi Teknologi Angkatan Laut"," KOTA SURABAYA - JAWA TIMUR, ID","24","9","2"
"8244538","Universitas Budi Darma"," KOTA MEDAN - SUMATERA UTARA, ID","82","11","0"
"4106","Sekolah Tinggi Agama Kristen Samarinda"," KOTA SAMARINDA - KALIMANTAN TIMUR, ID","2","2","0"
"2053","Universitas Muhammadiyah Malang"," KOTA MALANG - JAWA TIMUR, ID","751","62","33"
"2910","Universitas Islam Kuantan Singingi"," KAB. KUANTAN SINGINGI - RIAU, ID","85","13","2"
"1290","Universitas Bina Sarana Informatika"," KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID","1134","44","22"
"2226","Institut Ilmu Kesehatan STRADA Indonesia"," KOTA KEDIRI - JAWA TIMUR, ID","83","13","6"
"2375","Universitas Islam Al-Azhar"," KOTA MATARAM - NUSA TENGGARA BARAT, ID","158","10","2"
"413","Politeknik Negeri Malang"," KOTA MALANG - JAWA TIMUR, ID","588","64","7"
"8244001","Sekolah Tinggi Agama Islam Negeri Mandailing Natal"," KAB. MANDAILING NATAL - SUMATERA UTARA, ID","127","19","0"
"412","Universitas Katolik Widya Mandala Surabaya"," KOTA SURABAYA - JAWA TIMUR, ID","370","38","9"
"546","Politeknik Negeri Bali"," KAB. BADUNG - BALI, ID","399","37","10"
"3134","Universitas Islam Kalimantan Muhammad Arsyad Al Banjari"," KOTA BANJARMASIN - KALIMANTAN SELATAN, ID","379","26","23"
"2450","Institut Pariwisata dan Bisnis Internasional"," KOTA DENPASAR - BALI, ID","81","7","2"
"4413","Politeknik Kesehatan Kementerian Kesehatan Medan"," KOTA MEDAN - SUMATERA UTARA, ID","251","21","1"
"1089","Universitas Al-azhar Indonesia"," KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID","168","21","3"
"8333","Akademi Komunitas Industri Tekstil dan Produk Tekstil Surakarta"," KOTA SURAKARTA - JAWA TENGAH, ID","16","3","0"
"201","Universitas Islam Negeri Walisongo Semarang"," KOTA SEMARANG - JAWA TENGAH, ID","628","51","29"
"3521","Universitas Islam Negeri Imam Bonjol Padang"," KOTA PADANG - SUMATERA BARAT, ID","369","45","18"
"1579","STMIK Tasikmalaya"," KOTA TASIKMALAYA - JAWA BARAT, ID","24","2","1"
"4479","Universitas Pertahanan RI"," KAB. BOGOR - JAWA BARAT, ID","391","29","2"
"2914","Universitas Dharmas Indonesia"," KAB. DHARMASRAYA - SUMATERA BARAT, ID","95","18","0"
"1686","Universitas 'Aisyiyah Bandung"," KOTA BANDUNG - JAWA BARAT, ID","59","8","2"
"2401","Universitas Bali Internasional"," KOTA DENPASAR - BALI, ID","82","15","1"
"4460","Politeknik STMI Jakarta"," KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID","74","5","0"
"2419","Universitas Bumigora"," KOTA MATARAM - NUSA TENGGARA BARAT, ID","192","16","5"
"545","Politeknik Negeri Padang"," KOTA PADANG - SUMATERA BARAT, ID","367","44","9"
"3531","Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung"," KAB. TULUNGAGUNG - JAWA TIMUR, ID","255","49","10"
"426","Politeknik Elektronika Negeri Surabaya"," KOTA SURABAYA - JAWA TIMUR, ID","216","37","1"
"553","Politeknik Negeri Lhokseumawe"," KOTA LHOKSEUMAWE - ACEH, ID","286","30","6"
"499","Universitas Negeri Surabaya"," KOTA SURABAYA - JAWA TIMUR, ID","1159","123","49"
"3058","Akademi Farmasi Dwi Farma"," KOTA BUKITTINGGI - SUMATERA BARAT, ID","15","1","0"
"399","Universitas Mataram"," KOTA MATARAM - NUSA TENGGARA BARAT, ID","1322","68","37"
"4402","Politeknik Pariwisata NHI Bandung"," KOTA BANDUNG - JAWA BARAT, ID","143","14","2"
"626","Universitas Pelita Bangsa"," KAB. BEKASI - JAWA BARAT, ID","225","16","1"
"1080","Universitas Esa Unggul"," KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID","584","35","9"
"498","Universitas Negeri Manado"," KAB. MINAHASA - SULAWESI UTARA, ID","723","68","3"
"3541","Institut Agama Islam Negeri Madura"," KAB. PAMEKASAN - JAWA TIMUR, ID","228","24","14"
"2079","Universitas Gajayana"," KOTA MALANG - JAWA TIMUR, ID","80","14","1"
"3528","Universitas Islam Negeri Raden Intan Lampung"," KOTA BANDAR LAMPUNG - LAMPUNG, ID","385","45","22"
"3526","IAIN Sultan Amai Gorontalo"," KOTA GORONTALO - GORONTALO, ID","196","27","8"
"185","Institut Agama Islam Negeri Kudus"," KAB. KUDUS - JAWA TENGAH, ID","233","32","31"
"2428","Institut Teknologi dan Bisnis STIKOM Bali"," KOTA DENPASAR - BALI, ID","185","5","2"
"944","Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Pahlawan 12"," KAB. BANGKA - KEPULAUAN BANGKA BELITUNG, ID","19","3","2"
"539","Politeknik Negeri Jakarta"," KOTA DEPOK - JAWA BARAT, ID","399","50","5"
"526","Universitas Pembangunan Nasional Veteran Yogyakarta"," KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID","587","33","10"
"1119","Sekolah Tinggi Manajemen Informatika dan Komputer Jayakarta"," KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID","19","3","2"
"1410","Universitas Winaya Mukti"," KOTA BANDUNG - JAWA BARAT, ID","96","13","2"
"300","Politeknik Ilmu Pelayaran Semarang"," KOTA SEMARANG - JAWA TENGAH, ID","56","3","0"
"834","Universitas Sang Bumi Ruwa Jurai"," KOTA BANDAR LAMPUNG - LAMPUNG, ID","110","9","4"
"1692","STKIP Pangeran Dharma Kusuma Segeran Juntinyuat Indramayu"," KAB. INDRAMAYU - JAWA BARAT, ID","41","4","1"
"2390","Universitas Teknologi Sumbawa"," KAB. SUMBAWA - NUSA TENGGARA BARAT, ID","201","33","1"
"441","Universitas Sumatera Utara"," KOTA MEDAN - SUMATERA UTARA, ID","1926","160","18"
