"id_sinta","id_instansi","id_dept","id_paper","judul_paper","nama_penerbit","nama_journal","penulis_ke","jumlah_penulis","team_penulis","tahun_terbit","doi","accred"
"6042761","414","84002","3243489","  The Use of Learning Aids for Dyscalculia Systematic Literature Review "," STAI Hubbulwathan Duri "," AL-ISHLAH: Jurnal Pendidikan Vol 15, No 1 (2023): Issue In Press : March 2023639-652",3,3,"Husna Fatwana; Dadan Dasari; Dadang Juandi","2023"," 10.35445/alishlah.v15i1.2633","Sinta 2"
"6042761","414","84002","3296300","  Self-Efficacy and Reflective Thinking Skills Attributes of Pre-service Mathematics Teachers "," Institut Pendidikan Indonesia "," Mosharafa: Jurnal Pendidikan Matematika Vol 12, No 1 (2023)81-88",3,3,"Riva Lesta Ariany; Rizky Rosjanuardi; Dadang Juandi","2023"," 10.31980/mosharafa.v12i1.1979","Sinta 2"
"6042761","414","84002","2462450","  Study Literature Review Realistic Mathematics Education Learning on Studentsâ Mathematical Creative Thinking Ability "," Fakultas Keguruan dan Ilmu Pendidikan Universitas Singaperbangsa "," SJME (Supremum Journal of Mathematics Education) Vol 6 No 1 (2022): Supremum Journal of Mahematics Education35 - 42",2,2,"Ratu Sarah Fauziah Iskandar; Dadang Juandi","2022"," 10.35706/sjme.v6i1.5739","Sinta 3"
"6042761","414","84002","2463049","  Pengaruh Model Pembelajaran Kooperatif Tipe Think-Talk-Write terhadap Kemampuan Komunikasi Matematis Siswa Studi Meta-Analisis "," Mathematics Education Study Program "," Jurnal Cendekia : Jurnal Pendidikan Matematika Vol 6 No 1 (2022): Volume 6 Nomor 1 Tahun 2022771-785",2,3,"Nurmala Setianing Putri; Dadang Juandi; Al Jupri","2022"," 10.31004/cendekia.v6i1.1264","Sinta 3"
"6042761","414","84002","2474061","  ANALYSIS OF HIGH SCHOOL STUDENTS LOGICAL-MATHEMATICAL THINKING ABILITY BASED ON THE POLYA STAGE SOLVING IN TERMS OF MATHEMATICAL SELF-CONCEPT ABILITY "," FKIP Universitas Muhammadiyah Tangerang "," Prima: Jurnal Pendidikan Matematika Vol 6, No 1 (2022): Prima : Jurnal Pendidikan Matematika53-69",3,3,"Rika Mulyati Mustika Sari; Nanang Priatna; Dadang Juandi","2022"," 10.31000/prima.v6i1.5316","Sinta 3"
"6042761","414","84002","2540059","  Didactic Design of the Concept of Surface Area of Flat-Sided Prism Based on van Hieleâs Theory in Online Learning "," Universitas Sriwijaya "," Jurnal Pendidikan Matematika Vol 16, No 1 (2022)73-88",3,3,"Yushilatu Felayati Aziiza; Rizky Rosjanuardi; Dadang Juandi","2022"," 10.22342/jpm.16.1.13789.73-88","Sinta 2"
"6042761","414","84002","2567418","  How Do Students Believe in Their Mathematical Abilities? An Analysis of Applied Mathematics Problems in High School "," Universitas Sebelas Maret "," PAEDAGOGIA Vol 25, No 1 (2022): PAEDAGOGIA Jilid 25 No 1 (2022)41-54",2,3,"Fakhrunisa, Fauziah; Juandi, Dadang; Hasanah, Aan","2022"," 10.20961/paedagogia.v25i1.58645","Sinta 3"
"6042761","414","84002","2597474","  SELF-EFFICACY GURU MATEMATIKA DALAM MENGHADAPI DINAMIKA PEMBELAJARAN DI MASA PANDEMI COVID 19 "," IKIP Siliwangi "," JPMI (Jurnal Pembelajaran Matematika Inovatif) Vol 5, No 2 (2022): JPMI439-450",2,4,"Sarah Inayah; Dadang Juandi; Rizki Dwi Siswanto; Shelly Morin","2022"," 10.22460/jpmi.v5i2.10012","Sinta 3"
"6042761","414","84002","2597504","  PERSEPSI SISWA TERHADAP PEMBELAJARAN MATEMATIKA SECARA DARING DENGAN MENGGUNAKAN LMS MOODLE SELAMA PANDEMI COVID-19 "," IKIP Siliwangi "," JPMI (Jurnal Pembelajaran Matematika Inovatif) Vol 5, No 2 (2022): JPMI485-494",2,2,"Edi Supriyadi; Dadang Juandi","2022"," 10.22460/jpmi.v5i2.10016","Sinta 3"
"6042761","414","84002","2611301","  PEMBELAJARAN MATEMATIKA DENGAN PENDEKATAN STEM SYSTEMATIC LITERATURE REVIEW "," Universitas Galuh "," Teorema: Teori dan Riset Matematika Vol 7, No 1 (2022): Maret149-160",2,2,"Laili Rahmawati; Dadang Juandi","2022"," 10.25157/teorema.v7i1.6914","Sinta 3"
