"SINTA_ID","Nama","id_univ","Universitas","id_dept","Departemen","Subject List","SINTA_Score_Overall","Scopus_Artikel","GScholar_Artikel"
"6042761","DADANG JUANDI","414","Universitas Pendidikan Indonesia","84002","S3 - Pendidikan Matematika","mathematics education, statistics","3.000","89","251"
"5998598","RATU ILMA INDRA PUTRI","440","Universitas Sriwijaya","84002","S3 - Pendidikan Matematika","Measurement, Learning Evaluation, mathematics education, statistics, ICT","3.940","107","406"
"5979527","NUR CHAMIDAH","380","Universitas Airlangga","49201","S2 - Matematika","Statistics","2.161","70","125"
"5978882","REZZY EKO CARAKA","444","Badan Riset dan Inovasi Nasional","U1","Unknown","Statistics, Machine Learning, Business Analytics, Data Science, SDGs","2.319","68","154"
"5974829","BUDI WARSITO","6","Universitas Diponegoro","57101","S2 - Sistem Informasi","Statistics, Genetic Algorithm, Wavelet, Neural Network, Time Series Analysis","2.532","87","210"
"50447","ANSARI SALEH AHMAR","436","Universitas Negeri Makassar","49201","S1 - Statistika","Statistics, Computation, Web Development - Information System, Applied Mathematics, Decision Support System","3.612","74","170"
"5998834","DEDI ROSADI","384","Universitas Gadjah Mada","U1","Unknown","Statistics, Computational Statistics, Time Series and Econometrics, Data Science and Machine Learning, BioStatistics","3.293","93","187"
"5977802","HERI KUSWANTO","417","Institut Teknologi Sepuluh Nopember","49101","S2 - Statistika","Statistics, Computational Statistics, Extreme Weather and Climate modelling, Time series forecasting, Econometrics","3.632","114","179"
"6025903","EDI ABDURACHMAN","1135","Institut Transportasi dan Logistik Trisakti","61001","S3 - Manajemen","Quantitative Management, statistics","1.948","113","137"
"6100301","YOHANES LEONARDUS SUKESTIYARNO","9","Universitas Negeri Semarang","84002","S3 - Pendidikan Matematika","Statistics","1.717","42","216"
"5975411","BAGUS SARTONO","428","Institut Pertanian Bogor","49101","S2 - Statistika dan Sains Data","statistics, experimental design, data mining, classification, data science","2.690","71","233"
"6014221","TONI TOHARUDIN","481","Universitas Padjadjaran","49101","S2 - Statistika Terapan","Data Science, Time Series, Machine Learning, Statistics, Forecasting","1.649","48","116"
"134477","ARI SEPTIAN","1418","Universitas Suryakancana","84202","S1 - Pendidikan Matematika","Matematika, Statistika, Pendidikan Matematika","1.104","6","78"
"6648519","TRI EDI BUDHI SOESILO","430","Universitas Indonesia","U1","Unknown","Environmental Science, System Dynamic, Environmental Health, Research Methodology, Statistics","2.014","90","161"
"6652752","IRWAN","436","Universitas Negeri Makassar","44201","S1 - Matematika","Statistika, Matematika","2.004","18","2"
"6029006","I NYOMAN BUDIANTARA","417","Institut Teknologi Sepuluh Nopember","49001","S3 - Ilmu Statistik","Statistics, Mathematics, Social Sciences.","2.517","86","216"
