id_instansi,nama_instansi,lokasi,jumlah_penulis,jumlah_departemen,jumlah_journals
414,Universitas Pendidikan Indonesia," KOTA BANDUNG - JAWA BARAT, ID",1613,174,54
440,Universitas Sriwijaya," KAB. OGAN ILIR - SUMATERA SELATAN, ID",1617,119,49
380,Universitas Airlangga," KOTA SURABAYA - JAWA TIMUR, ID",2078,186,61
444,Badan Riset dan Inovasi Nasional," KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",2823,0,0
6,Universitas Diponegoro," KOTA SEMARANG - JAWA TENGAH, ID",1830,170,89
436,Universitas Negeri Makassar," KOTA MAKASSAR - SULAWESI SELATAN, ID",1101,124,43
417,Institut Teknologi Sepuluh Nopember," KOTA SURABAYA - JAWA TIMUR, ID",1132,92,25
384,Universitas Gadjah Mada," KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",3251,305,78
1135,Institut Transportasi dan Logistik Trisakti," KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",154,11,1
9,Universitas Negeri Semarang," KOTA SEMARANG - JAWA TENGAH, ID",1296,105,126
428,Institut Pertanian Bogor," KAB. BOGOR - JAWA BARAT, ID",1510,192,50
481,Universitas Padjadjaran," KAB. SUMEDANG - JAWA BARAT, ID",2254,188,56
1418,Universitas Suryakancana," KAB. CIANJUR - JAWA BARAT, ID",142,18,10
430,Universitas Indonesia," KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",3500,259,51
583,Universitas Simalungun," KOTA PEMATANGSIANTAR - SUMATERA UTARA, ID",118,19,0
442,Universitas Syiah Kuala," KOTA BANDA ACEH - ACEH, ID",1727,142,38
404,Universitas Brawijaya," KOTA MALANG - JAWA TIMUR, ID",2398,176,68
8244516,Universitas Nias Raya," KAB. NIAS SELATAN - SUMATERA UTARA, ID",90,13,0
2053,Universitas Muhammadiyah Malang," KOTA MALANG - JAWA TIMUR, ID",751,62,33
8,Universitas Sebelas Maret," KOTA SURAKARTA - JAWA TENGAH, ID",1766,183,67
405,Universitas Kristen Indonesia," KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",249,35,9
2077,Universitas PGRI Adi Buana Surabaya," KOTA SURABAYA - JAWA TIMUR, ID",310,33,13
540,Politeknik Negeri Medan," KOTA MEDAN - SUMATERA UTARA, ID",361,26,0
2564,Universitas Cokroaminoto Palopo," KOTA PALOPO - SULAWESI SELATAN, ID",165,14,8
8244628,Universitas Islam Negeri K.H. Abdurrahman Wahid Pekalongan," UNKNOWN - UNKNOWN, ID",205,24,0
398,Universitas Lampung," KOTA BANDAR LAMPUNG - LAMPUNG, ID",1407,123,37
515,Universitas Samudra," KOTA LANGSA - ACEH, ID",320,28,4
2106,Universitas Nahdlatul Ulama Surabaya," KOTA SURABAYA - JAWA TIMUR, ID",254,20,11
500,Universitas Negeri Medan," KOTA MEDAN - SUMATERA UTARA, ID",1033,85,52
1561,Sekolah Tinggi Ilmu Kesehatan Cirebon," KAB. CIREBON - JAWA BARAT, ID",38,9,1
491,Universitas Jambi," KAB. MUARO JAMBI - JAMBI, ID",1117,92,32
8425,Universitas Ma'soem," KAB. BANDUNG - JAWA BARAT, ID",66,11,2
1118,Sekolah Tinggi Ilmu Ekonomi Indonesia Jakarta," KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",101,6,3
18,Universitas PGRI Semarang," KOTA SEMARANG - JAWA TENGAH, ID",354,28,17
3511,Universitas Islam Negeri Sunan Gunung Djati Bandung," KOTA BANDUNG - JAWA BARAT, ID",708,67,49
381,Universitas Negeri Yogyakarta," KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",1343,189,58
1878,Universitas PGRI Yogyakarta," KAB. BANTUL - DAERAH ISTIMEWA YOGYAKARTA, ID",223,25,6
1659,Universitas Nusa Putra," KAB. SUKABUMI - JAWA BARAT, ID",180,13,0
1093,Universitas Telkom," KAB. BANDUNG - JAWA BARAT, ID",1041,45,12
3514,Universitas Islam Negeri Sultan Syarif Kasim Riau," KAB. KAMPAR - RIAU, ID",647,56,31
438,Universitas Negeri Malang," KOTA MALANG - JAWA TIMUR, ID",1632,135,63
385,Universitas Hasanuddin," KOTA MAKASSAR - SULAWESI SELATAN, ID",1899,219,44
4328,Politeknik Statistika STIS," KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",76,3,1
3528,Universitas Islam Negeri Raden Intan Lampung," KOTA BANDAR LAMPUNG - LAMPUNG, ID",385,45,22
8339,Universitas Raharja," KOTA TANGERANG - BANTEN, ID",176,13,5
579,Universitas HKBP Nommensen," KOTA MEDAN - SUMATERA UTARA, ID",287,31,3
435,Universitas Negeri Jakarta," KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",1041,112,54
406,Universitas Jember," KAB. JEMBER - JAWA TIMUR, ID",1292,112,28
2108,Universitas KH. A. Wahab Hasbullah," KAB. JOMBANG - JAWA TIMUR, ID",96,15,3
2056,Universitas Islam Malang," KOTA MALANG - JAWA TIMUR, ID",402,36,16
2893,Universitas Islam Riau," KOTA PEKANBARU - RIAU, ID",560,44,17
3358,Universitas Al Muslim," KAB. BIREUEN - ACEH, ID",217,28,2
2228,Universitas Qomaruddin," KAB. GRESIK - JAWA TIMUR, ID",45,6,0
496,Universitas Terbuka," KOTA TANGERANG SELATAN - BANTEN, ID",699,44,4
1057,Universitas Pancasila," KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",415,30,12
510,Universitas Bangka Belitung," KOTA PANGKAL PINANG - KEPULAUAN BANGKA BELITUNG, ID",287,29,14
1398,Universitas Pasundan," KOTA BANDUNG - JAWA BARAT, ID",499,44,20
2783,Akademi Teknologi Industri Dewantara Palopo," KOTA PALOPO - SULAWESI SELATAN, ID",33,3,0
4478,Politeknik Siber dan Sandi Negara," KAB. BOGOR - JAWA BARAT, ID",41,3,0
382,Universitas Islam Indonesia," KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",747,58,25
477,Universitas Trisakti," KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID",931,47,25
4482,Akademi Angkatan Laut Surabaya," KOTA SURABAYA - JAWA TIMUR, ID",26,6,0
2428,Institut Teknologi dan Bisnis STIKOM Bali," KOTA DENPASAR - BALI, ID",185,5,2
551,Universitas Muhammadiyah Sidoarjo," KAB. SIDOARJO - JAWA TIMUR, ID",242,30,21
2132,Sekolah Tinggi Ilmu Ekonomi Indonesia Surabaya," KOTA SURABAYA - JAWA TIMUR, ID",107,8,1
1130,STKIP Kusumanegara," KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",95,6,2
2125,Universitas PGRI Madiun," KOTA MADIUN - JAWA TIMUR, ID",301,27,23
1999,Sekolah Tinggi Manajemen Informatika dan Komputer Sinar Nusantara," KOTA SURAKARTA - JAWA TENGAH, ID",34,5,2
386,Universitas Ahmad Dahlan," KOTA YOGYAKARTA - DAERAH ISTIMEWA YOGYAKARTA, ID",746,59,43
388,Universitas Bina Nusantara," KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID",1269,55,8
509,Universitas Pendidikan Ganesha," KAB. BULELENG - BALI, ID",531,86,93
1426,Universitas Kuningan," KAB. KUNINGAN - JAWA BARAT, ID",180,19,13
54,Universitas Pancasakti Tegal," KOTA TEGAL - JAWA TENGAH, ID",186,25,11
2528,Universitas Muslim Indonesia," KOTA MAKASSAR - SULAWESI SELATAN, ID",742,59,18
1456,Institut Manajemen Wiyata Indonesia," KOTA SUKABUMI - JAWA BARAT, ID",33,6,1
1246,Universitas Pamulang," KOTA TANGERANG - BANTEN, ID",1633,23,34
3543,Institut Agama Islam Negeri Ponorogo," KAB. PONOROGO - JAWA TIMUR, ID",219,26,13
1394,Universitas Pakuan," KOTA BOGOR - JAWA BARAT, ID",449,38,12
586,Universitas Medan Area," KOTA MEDAN - SUMATERA UTARA, ID",321,23,25
499,Universitas Negeri Surabaya," KOTA SURABAYA - JAWA TIMUR, ID",1159,123,49
392,Universitas Halu Oleo," KOTA KENDARI - SULAWESI TENGGARA, ID",1313,112,57
1411,Universitas Galuh," KAB. CIAMIS - JAWA BARAT, ID",283,26,13
475,Universitas Tanjungpura," KOTA PONTIANAK - KALIMANTAN BARAT, ID",1000,99,23
8244249,Institut Bisnis dan Teknologi Pelita Indonesia," KOTA PEKANBARU - RIAU, ID",69,6,1
517,Universitas Sulawesi Barat," KAB. MAJENE - SULAWESI BARAT, ID",415,32,7
3549,Institut Agama Islam Negeri Curup," KAB. LEBONG - BENGKULU, ID",174,22,15
527,Universitas Singaperbangsa Karawang," KAB. KARAWANG - JAWA BARAT, ID",575,34,12
1319,Universitas Muhammadiyah Tangerang," KOTA TANGERANG - BANTEN, ID",361,35,17
497,Universitas Negeri Padang," KOTA PADANG - SUMATERA BARAT, ID",1379,127,61
564,Politeknik Negeri Batam," KOTA BATAM - KEPULAUAN RIAU, ID",215,24,9
502,Universitas Trunojoyo Madura," KAB. BANGKALAN - JAWA TIMUR, ID",582,36,26
1059,Universitas Muhammadiyah Jakarta," KOTA TANGERANG SELATAN - BANTEN, ID",565,59,22
1122,Institut Bio Scientia Internasional Indonesia," KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",72,9,0
832,Universitas Muhammadiyah Palembang," KOTA PALEMBANG - SUMATERA SELATAN, ID",370,32,11
2043,Universitas Muhammadiyah Surabaya," KOTA SURABAYA - JAWA TIMUR, ID",324,36,22
447,Politeknik Negeri Jember," KAB. JEMBER - JAWA TIMUR, ID",447,33,6
62,Universitas Widya Dharma," KAB. KLATEN - JAWA TENGAH, ID",112,19,0
